region_id,page_id,pdf_page,start_char,end_char_exclusive,region_type,detection_method,reviewed,x0,y0,x1,y1,row_count,col_count,token_count,text_sha256,text_preview
XR_000019,P_0096,96,58,1661,TABLE,pymupdf_layout,true,56.71,99.889,523.677,506.41,0,0,225,8b6e68d40bfce24dbcb5ccc8a0413971292ae245ffe6b50dd909c64f53322a5c,Table 3.1 Commonly used disinfectants Intended object of Disinfectant Recommended Minimum Stock preparation of disinfection dilution for duration of disinfectan
XR_000020,P_0104,104,0,2853,TABLE,pymupdf_layout,true,56.738,56.54,524.242,749.8,0,0,443,cd291d10bdfd36bdd8c3f772b624941b79bd9b9eb87c8dc13dd1d5592165fd0a,Table 3.2 Dispatch of specimens92 to a reference laboratoryManual of basic techniques for a health laboratory Type of Type of laboratory Container and preservat
XR_000021,P_0105,105,40,1270,TABLE,pymupdf_layout,true,70.86,99.888,538.36,420.85,0,0,188,5991ae9296eb93035121004ea4ec9b0748e98a7d0e4bcaf69b343e3a30cabd35,Table 3.2 (cont.) Type of Type of laboratory Container and preservative Amount of Preservation specimen examination specimen to time send Urine (see Biochemical
XR_000022,P_0107,107,1806,1997,TABLE,pymupdf_layout,true,70.86,617.843,297.332,725.147,0,0,40,e0cf0fa4f1ba691ab3929aedf9fd4855f029de0d2259500dbe7317b75d57b02e,Table 3.3 Calculating the amount of fixative to use for biopsy material Dimensions of specimen (cm) Amount of fixative (ml) 0.5 ¥ 0.5 6–10 0.5 ¥ 1 10–15 1 ¥ 1 2
XR_000023,P_0117,117,681,1378,TABLE,pymupdf_layout,true,70.86,365.118,403.274,772.75,0,0,77,55e216971c5d4dd94e01bcfef0d95afe1cd1e40364754e073859e4f18ae6f354,Table 4.1 Common causes of diarrhoeal disease Type of cause Specific cause Infectious Protozoa Amoebae Giardia spp. Balantidium coli Isospora belli Cryptosporid
XR_000024,P_0118,118,333,3331,TABLE,pymupdf_layout,true,56.74,169.129,523.978,772.75,0,0,381,c2f77bcd1e909c9e0f2908d6c8b2a51e4ff672e06674a281abf7ab791bf4c76d,Table 4.2 Routes of transmission of intestinal parasites Scientific name Common name How infection is contracted Helminths Ancylostoma duodenale Hookworm Walkin
XR_000025,P_0123,123,24,646,TABLE,pymupdf_layout,true,70.86,99.888,409.474,307.36,0,0,73,b1aab8c8e781b17f084f41431a99bc79d23bdc4b87dbd32a75edef28b137cbca,Table 4.3 Pathogenicity of intestinal protozoa Species Pathogenicity Amoebae Entamoeba histolytica Only amoeba that is commonly pathogenic to humans. May cause 
XR_000026,P_0126,126,59,701,TABLE,pymupdf_layout,true,56.74,99.888,524.501,256.96,0,0,85,c1e21172097d2ab7b3e132f9a80ccab7a330d112b7c6393f718b079b86ea65e1,Table 4.4 Features for the differential diagnosis of Entamoeba histolytica and E. coli Feature E. histolytica E. coli Motion In a definite direction Haphazard M
XR_000027,P_0140,140,59,1342,TABLE,pymupdf_layout,true,56.74,99.888,524.507,487.809,0,0,143,07971d8e4ec422026c1f1acb772157f4a2990013f04e7f976433713529353a0f,Table 4.5 Helminth species whose eggs are found in stools Scientific name Geographical distribution Ancylostoma duodenale Worldwide Ascaris lumbricoides Worldwi
XR_000028,P_0169,169,1701,2399,TABLE,pymupdf_layout,true,70.859,596.988,411.016,772.75,0,0,102,375d85785f97bdfc4f4ab81f657bc8f32a3a9ef46d59d79c2a8a6c3007328838,Table 4.6 Characteristics of larvae of Strongyloides stercoralis and Ancylostoma duodenale or Necator americanus Larval stage S. stercoralis A. duodenale or N. 
XR_000029,P_0172,172,1863,2305,TABLE,pymupdf_layout,true,184.3,574.728,524.446,695.65,0,0,59,959d3b3302bef6d312bdd3a98a603579a3bca6e8c4e623624b5ceb70030c6e64,Table 4.7 Geographical distribution of filarial worms Species Geographical distribution Brugia malayi Asia Brugia timori Parts of Indonesia Loa loa Central and 
XR_000030,P_0177,177,21,2653,TABLE,pymupdf_layout,true,71.436,101.358,436.594,776.813,0,0,345,dc10cb5d79bc7fd3c117e571786c4cbb71d423f8abb8b69b95be5978cb688918,"space; body and spp.) 2% and in in Aedes, unstained dispersed bancrofti head W. Giemsa; smooth Tropical subtropical countries Mosquitoes (Culex, Anopheles Manso"
XR_000031,P_0178,178,59,431,TABLE,pymupdf_layout_caption_fallback,true,184.36,99.888,524.163,236.531,0,0,47,363c422dec3677e9e195e7c25bed9e6eed83ddf73655f1044393bd66bedad6e2,Table 4.9 Recommended times for collection of blood specimens for testing for microfilariae Speciesa Recommended collection time Periodic (nocturnal) 23:00–01:0
XR_000032,P_0185,185,24,810,TABLE,pymupdf_layout,true,70.86,99.888,411.002,309.91,0,0,109,9b59f9ea992e76fdd0ddc0324e4abdba5cd56ef08ab8678902d4de5be7d07b6f,Table 4.10 Geographical distribution of Plasmodium spp. infective to humans Country or area P. falciparum P. malariae P. ovale P. vivax Central Africa Predomina
